,dayStart,duration,elev,Duration in Days
0,2014-01-03,1.0,15.06,0.0
1,2014-01-04,1.0,15.52,0.0
2,2014-01-05,1.0,15.88,0.0
3,2014-01-06,1.0,15.83,0.0
4,2014-01-07,1.0,15.81,0.0
5,2014-01-08,1.0,16.01,0.0
6,2014-01-09,1.0,16.34,0.0
7,2014-01-10,1.0,16.55,0.0
8,2014-01-11,1.0,16.59,0.0
9,2014-01-12,1.0,16.29,0.0
10,2014-01-13,1.0,15.8,0.0
11,2014-01-14,1.0,15.29,0.0
12,2014-01-15,1.0,15.01,0.0
13,2014-01-16,1.0,15.56,0.0
14,2014-01-17,1.0,16.06,0.0
15,2014-01-18,1.0,16.39,0.0
16,2014-01-19,1.0,16.65,0.0
17,2014-01-20,1.0,16.81,0.0
18,2014-01-21,1.0,16.91,0.0
19,2014-01-22,1.0,16.97,0.0
20,2014-01-23,1.0,16.97,0.0
21,2014-01-24,1.0,17.02,0.0
22,2014-01-25,1.0,17.05,0.0
23,2014-01-26,1.0,16.78,0.0
24,2014-01-27,1.0,16.13,0.0
25,2014-01-28,1.0,15.12,0.0
26,2014-01-31,1.0,15.14,0.0
27,2014-02-01,1.0,15.01,0.0
28,2014-02-24,1.0,15.34,0.0
29,2014-02-25,1.0,15.67,0.0
30,2014-02-26,1.0,16.04,0.0
31,2014-02-27,1.0,16.35,0.0
32,2014-02-28,1.0,16.58,0.0
33,2014-03-01,1.0,16.67,0.0
34,2014-03-02,1.0,15.75,0.0
35,2014-03-15,1.0,15.32,0.0
36,2014-03-16,1.0,15.01,0.0
37,2014-03-21,1.0,15.13,0.0
38,2014-04-13,1.0,15.4,0.0
39,2014-04-14,1.0,15.87,0.0
40,2014-04-15,1.0,16.25,0.0
41,2014-04-16,1.0,16.65,0.0
42,2014-04-17,1.0,16.91,0.0
43,2014-04-18,1.0,17.08,0.0
44,2014-04-19,1.0,17.17,0.0
45,2014-04-20,1.0,17.19,0.0
46,2014-04-21,1.0,17.2,0.0
47,2014-04-22,1.0,17.1,0.0
48,2014-04-23,1.0,16.74,0.0
49,2014-04-24,1.0,16.06,0.0
50,2014-04-25,1.0,15.14,0.0
51,2014-05-02,1.0,15.96,0.0
52,2014-05-03,1.0,16.4,0.0
53,2014-05-04,1.0,16.53,0.0
54,2014-05-05,1.0,16.41,0.0
55,2014-05-06,1.0,16.22,0.0
56,2014-05-07,1.0,15.96,0.0
57,2014-05-08,1.0,15.16,0.0
58,2014-05-26,1.0,15.08,0.0
59,2014-05-27,1.0,15.12,0.0
60,2014-05-28,1.0,15.13,0.0
61,2014-05-29,1.0,15.17,0.0
62,2014-05-30,1.0,15.21,0.0
63,2014-05-31,1.0,15.2,0.0
64,2015-04-24,1.0,15.31,0.0
65,2015-04-25,1.0,15.89,0.0
66,2015-04-26,1.0,16.15,0.0
67,2015-04-27,1.0,16.26,0.0
68,2015-04-28,1.0,15.96,0.0
69,2015-04-29,1.0,15.54,0.0
70,2015-04-30,1.0,15.21,0.0
