date,mean,meanQual
11/6/2013,4.03,A
11/7/2013,4.19,A
11/8/2013,4.13,A
11/9/2013,4.38,A
11/10/2013,3.65,A
11/11/2013,2.93,A
11/12/2013,2.56,A
11/13/2013,2.46,A
11/14/2013,2.87,A
11/15/2013,3.19,A
11/16/2013,3.29,A
11/17/2013,3.04,A
11/18/2013,3.03,A
11/19/2013,2.98,A
11/20/2013,2.84,A
11/21/2013,2.78,A
11/22/2013,2.94,A
11/23/2013,3.12,A
11/24/2013,2.94,A
11/26/2013,3.32,A
11/27/2013,4.22,A
11/28/2013,4.71,A
11/29/2013,5.53,A
11/30/2013,4.74,A
12/1/2013,6.73,A
12/2/2013,8.44,A
12/3/2013,9.66,A
12/4/2013,9.87,A
12/5/2013,9.96,A
12/6/2013,9.96,A
12/7/2013,9.58,A
12/8/2013,7.46,A
12/9/2013,5.52,A
12/10/2013,4.88,A
12/11/2013,4.63,A
12/12/2013,6.07,A
12/13/2013,6.68,A
12/14/2013,7.92,A
12/15/2013,8.6,A
12/16/2013,9.67,A
12/17/2013,10.41,A
12/18/2013,10.5,A
12/19/2013,11.26,A
12/20/2013,11.9,A
12/21/2013,10.95,A
12/22/2013,8.18,A
12/23/2013,6.11,A
12/24/2013,5.86,A
12/25/2013,6.53,A
12/26/2013,7.45,A
12/27/2013,7.63,A
12/28/2013,8.03,A
12/29/2013,9,A
12/30/2013,10.13,A
12/31/2013,11.6,A
1/1/2014,12.94,A
1/2/2014,14.41,A
1/3/2014,15.06,A
1/4/2014,15.52,A
1/5/2014,15.88,A
1/6/2014,15.83,A
1/7/2014,15.81,A
1/8/2014,16.01,A
1/9/2014,16.34,A
1/10/2014,16.55,A
1/11/2014,16.59,A
1/12/2014,16.29,A
1/13/2014,15.8,A
1/14/2014,15.29,A
1/15/2014,15.01,A
1/16/2014,15.56,A
1/17/2014,16.06,A
1/18/2014,16.39,A
1/19/2014,16.65,A
1/20/2014,16.81,A
1/21/2014,16.91,A
1/22/2014,16.97,A
1/23/2014,16.97,A
1/24/2014,17.02,A
1/25/2014,17.05,A
1/26/2014,16.78,A
1/27/2014,16.13,A
1/28/2014,15.12,A
1/29/2014,14.41,A
1/30/2014,14.75,A
1/31/2014,15.14,A
2/1/2014,15.01,A
2/2/2014,13.06,A
2/3/2014,10.91,A
2/4/2014,10.72,A
2/5/2014,11.07,A
2/6/2014,10.95,A
2/7/2014,10.75,A
2/8/2014,10.72,A
2/9/2014,9.47,A
2/10/2014,8.11,A
2/11/2014,8.76,A
2/12/2014,9.91,A
2/13/2014,11.34,A
2/14/2014,12.36,A
2/15/2014,12.44,A
2/16/2014,11.33,A
2/17/2014,10.78,A
2/18/2014,10.86,A
2/19/2014,12,A
2/20/2014,12.09,A
2/21/2014,11.5,A
2/22/2014,11.17,A
2/23/2014,14.5,A
2/24/2014,15.34,A
2/25/2014,15.67,A
2/26/2014,16.04,A
2/27/2014,16.35,A
2/28/2014,16.58,A
3/1/2014,16.67,A
3/2/2014,15.75,A
3/3/2014,14.09,A
3/4/2014,12.51,A
3/5/2014,11.32,A
3/6/2014,10.26,A
3/7/2014,9.95,A
3/8/2014,10.52,A
3/9/2014,9.95,A
3/10/2014,9.01,A
3/11/2014,8.23,A
3/12/2014,7.66,A
3/13/2014,9.06,A
3/14/2014,14.21,A
3/15/2014,15.32,A
3/16/2014,15.01,A
3/17/2014,14.44,A
3/18/2014,14.11,A
3/19/2014,14.06,A
3/20/2014,14.74,A
3/21/2014,15.13,A
3/22/2014,14.77,A
3/23/2014,14.02,A
3/24/2014,12.67,A
3/25/2014,11.64,A
3/26/2014,11.07,A
3/27/2014,10.73,A
3/28/2014,10.49,A
3/29/2014,10.64,A
3/30/2014,12.27,A
3/31/2014,13.29,A
4/1/2014,13.57,A
4/2/2014,13.48,A
4/3/2014,13.3,A
4/4/2014,13.12,A
4/5/2014,12.91,A
4/6/2014,12.34,A
4/7/2014,11.92,A
4/8/2014,12.04,A
4/9/2014,12.4,A
4/10/2014,13.62,A
4/11/2014,14.24,A
4/12/2014,14.64,A
4/13/2014,15.4,A
4/14/2014,15.87,A
4/15/2014,16.25,A
4/16/2014,16.65,A
4/17/2014,16.91,A
4/18/2014,17.08,A
4/19/2014,17.17,A
4/20/2014,17.19,A
4/21/2014,17.2,A
4/22/2014,17.1,A
4/23/2014,16.74,A
4/24/2014,16.06,A
4/25/2014,15.14,A
4/26/2014,14.94,A
4/27/2014,14.83,A
4/28/2014,14.19,A
4/29/2014,13.49,A
4/30/2014,13.47,A
5/1/2014,14.91,A
5/2/2014,15.96,A
5/3/2014,16.4,A
5/4/2014,16.53,A
5/5/2014,16.41,A
5/6/2014,16.22,A
5/7/2014,15.96,A
5/8/2014,15.16,A
5/9/2014,14.15,A
5/10/2014,12.91,A
5/11/2014,11.07,A
5/12/2014,9.54,A
5/13/2014,8.57,A
5/14/2014,7.92,A
5/15/2014,8.02,A
5/16/2014,8.86,A
5/17/2014,10,A
5/18/2014,11.58,A
5/19/2014,13.64,A
5/20/2014,14.24,A
5/21/2014,14.51,A
5/22/2014,14.67,A
5/23/2014,14.79,A
5/24/2014,14.89,A
5/25/2014,14.99,A
5/26/2014,15.08,A
5/27/2014,15.12,A
5/28/2014,15.13,A
5/29/2014,15.17,A
5/30/2014,15.21,A
5/31/2014,15.2,A
6/1/2014,14.71,A
6/2/2014,13.75,A
