dayStart,duration,elev,Duration in Days
2013-11-06,19.0,4.03,0.0
2013-11-26,3.0,3.32,0.0
2013-11-30,1.0,4.74,0.0
2013-12-10,2.0,4.88,0.0
2014-06-18,2.0,4.7,0.0
2014-06-21,11.0,4.48,0.0
2014-07-06,4.0,4.23,0.0
2014-07-13,3.0,4.64,0.0
2014-07-19,5.0,4.57,0.0
2014-07-28,2.0,4.0,0.0
2014-08-09,7.0,4.75,0.0
2014-08-17,3.0,4.76,0.0
2014-08-26,2.0,4.32,0.0
2014-09-01,2.0,4.5,0.0
2014-09-16,1.0,4.85,0.0
2014-09-22,2.0,4.25,0.0
2014-09-27,19.0,4.47,0.0
2014-10-28,30.0,4.56,1.0
2014-11-30,4.0,4.62,0.0
2015-02-12,1.0,4.99,0.0
2015-02-16,1.0,4.76,0.0
2015-05-18,28.0,4.84,1.0
2015-06-16,1.0,4.59,0.0
2015-06-19,6.0,4.8,0.0
2015-06-30,3.0,4.26,0.0
2015-07-06,3.0,4.26,0.0
2015-07-20,1.0,4.9,0.0
2015-07-24,13.0,4.78,0.0
2015-08-07,6.0,4.75,0.0
2015-08-14,14.0,4.9,0.0
2015-08-29,28.0,3.87,1.0
2015-09-27,3.0,4.93,0.0
2015-10-26,2.0,4.71,0.0
2015-11-02,1.0,4.84,0.0
2016-06-24,3.0,4.59,0.0
2016-07-31,2.0,4.5,0.0
2016-08-07,4.0,4.52,0.0
2016-08-15,1.0,4.88,0.0
2016-08-22,1.0,4.31,0.0
2016-08-29,2.0,4.67,0.0
2016-09-05,4.0,4.77,0.0
2016-09-12,2.0,4.52,0.0
2016-09-16,5.0,4.72,0.0
2016-11-13,3.0,4.5,0.0
2016-11-18,21.0,4.66,0.0
2016-12-26,8.0,4.08,0.0
2017-02-18,43.0,4.99,1.0
2017-07-09,3.0,4.85,0.0
2017-07-17,12.0,4.64,0.0
2017-07-31,2.0,4.62,0.0
2017-08-06,5.0,4.75,0.0
2017-08-13,1.0,4.9,0.0
2017-08-21,2.0,4.57,0.0
2017-08-27,4.0,4.66,0.0
2017-09-03,4.0,4.89,0.0
2017-09-10,4.0,4.71,0.0
2017-09-18,4.0,4.13,0.0
2017-09-24,82.0,4.75,3.0
2017-12-16,47.0,4.53,1.0
2018-02-03,16.0,4.75,0.0
2018-02-26,2.0,4.52,0.0
2018-03-12,13.0,4.86,0.0
2018-06-25,2.0,4.96,0.0
2018-07-02,1.0,4.38,0.0
2018-07-09,2.0,4.91,0.0
2018-07-12,6.0,4.94,0.0
2018-07-20,5.0,4.11,0.0
2018-07-26,2.0,4.92,0.0
2018-08-27,2.0,4.66,0.0
2018-09-02,4.0,4.63,0.0
2018-09-08,4.0,4.53,0.0
2019-07-28,2.0,4.69,0.0
2019-08-06,1.0,4.98,0.0
2019-08-11,3.0,4.86,0.0
2019-08-18,3.0,4.37,0.0
2019-08-23,1.0,4.75,0.0
2019-08-26,9.0,4.06,0.0
2019-09-10,14.0,4.97,0.0
2019-09-26,38.0,4.66,1.0
2019-11-24,8.0,4.69,0.0
2020-07-25,4.0,4.39,0.0
2020-07-31,4.0,4.71,0.0
2021-06-29,7.0,4.78,0.0
2021-07-19,1.0,4.77,0.0
2021-07-26,1.0,4.48,0.0
2021-08-02,2.0,4.34,0.0
2021-08-18,2.0,4.72,0.0
2021-08-23,1.0,4.27,0.0
2021-08-30,1.0,4.81,0.0
2021-09-04,6.0,3.99,0.0
2021-09-13,1.0,3.93,0.0
2021-09-18,4.0,4.27,0.0
2021-09-25,4.0,4.26,0.0
2021-10-02,4.0,4.57,0.0
2021-10-07,9.0,4.52,0.0
2021-10-18,2.0,3.58,0.0
2021-10-24,7.0,4.25,0.0
2021-11-08,2.0,3.18,0.0
2021-11-14,26.0,4.73,1.0
2021-12-11,4.0,4.79,0.0
2021-12-16,6.0,4.76,0.0
2021-12-25,10.0,4.19,0.0
2022-02-07,8.0,4.88,0.0
2022-06-20,4.0,4.32,0.0
2022-06-27,10.0,4.79,0.0
2022-07-08,5.0,4.85,0.0
2022-07-16,5.0,4.4,0.0
2022-07-24,5.0,4.92,0.0
2022-07-31,6.0,3.82,0.0
2022-08-08,1.0,3.92,0.0
2022-08-14,5.0,4.45,0.0
2022-08-22,3.0,3.88,0.0
2022-08-27,5.0,4.59,0.0
2022-09-02,6.0,4.96,0.0
2022-09-09,5.0,4.8,0.0
2022-09-16,4.0,4.74,0.0
2022-09-23,5.0,5.0,0.0
2022-09-29,3.0,4.54,0.0
2022-10-03,7.0,4.79,0.0
2022-10-17,32.0,4.43,1.0
2023-06-20,1.0,4.69,0.0
2023-07-11,1.0,4.72,0.0
2023-07-16,2.0,4.88,0.0
2023-08-01,1.0,4.32,0.0
2023-08-05,10.0,4.86,0.0
2023-08-19,3.0,4.95,0.0
2023-08-25,6.0,4.0,0.0
2023-09-03,4.0,4.1,0.0
2023-09-12,11.0,4.55,0.0
2023-09-29,39.0,4.82,1.0
