dayStart,duration,elev,Duration in Days
2013-12-17,5.0,,0.0
2013-12-30,4.0,,0.0
2014-01-29,2.0,,0.0
2014-02-02,7.0,,0.0
2014-02-13,11.0,,0.0
2014-03-03,4.0,,0.0
2014-03-08,1.0,,0.0
2014-03-14,1.0,,0.0
2014-03-17,4.0,,0.0
2014-03-22,22.0,,0.0
2014-04-26,6.0,,0.0
2014-05-09,3.0,,0.0
2014-05-18,8.0,,0.0
2014-06-01,8.0,,0.0
2014-09-10,2.0,,0.0
2014-10-17,2.0,,0.0
2014-12-06,8.0,,0.0
2014-12-25,11.0,,0.0
2015-01-06,6.0,,0.0
2015-01-13,13.0,,0.0
2015-01-29,9.0,,0.0
2015-03-01,22.0,,0.0
2015-03-24,7.0,,0.0
2015-04-02,22.0,,0.0
2015-05-01,10.0,,0.0
2015-07-10,1.0,,0.0
2015-10-04,1.0,,0.0
2015-10-19,4.0,,0.0
2015-11-04,9.0,,0.0
2015-12-07,18.0,,0.0
2016-03-21,28.0,,1.0
2016-05-07,4.0,,0.0
2016-06-03,16.0,,0.0
2016-06-28,6.0,,0.0
2016-07-13,11.0,,0.0
2016-08-12,1.0,,0.0
2016-09-22,4.0,,0.0
2016-10-29,3.0,,0.0
2017-01-08,4.0,,0.0
2017-01-15,3.0,,0.0
2017-01-28,1.0,,0.0
2017-02-07,3.0,,0.0
2017-04-10,6.0,,0.0
2017-04-26,1.0,,0.0
2017-05-22,3.0,,0.0
2017-06-12,6.0,,0.0
2017-06-22,1.0,,0.0
2017-07-01,2.0,,0.0
2018-03-06,3.0,,0.0
2018-04-02,15.0,,0.0
2018-04-20,9.0,,0.0
2018-05-11,5.0,,0.0
2018-05-18,4.0,,0.0
2018-06-08,4.0,,0.0
2018-07-04,3.0,,0.0
2018-08-01,5.0,,0.0
2018-08-12,8.0,,0.0
2018-08-22,2.0,,0.0
2018-09-19,2.0,,0.0
2019-02-14,5.0,,0.0
2019-03-25,7.0,,0.0
2019-04-14,7.0,,0.0
2019-05-02,24.0,,1.0
2019-06-12,5.0,,0.0
2019-06-30,4.0,,0.0
2019-11-07,10.0,,0.0
2019-12-08,22.0,,0.0
2020-01-11,16.0,,0.0
2020-01-31,7.0,,0.0
2020-03-05,5.0,,0.0
2020-03-28,14.0,,0.0
2020-04-14,18.0,,0.0
2020-05-13,15.0,,0.0
2020-07-13,4.0,,0.0
2020-08-05,4.0,,0.0
2020-08-12,5.0,,0.0
2020-08-22,22.0,,0.0
2020-09-16,1.0,,0.0
2020-09-18,8.0,,0.0
2020-09-29,14.0,,0.0
2020-10-16,7.0,,0.0
2020-10-26,9.0,,0.0
2021-01-23,7.0,,0.0
2021-03-15,8.0,,0.0
2021-04-18,17.0,,0.0
2021-06-12,7.0,,0.0
2021-06-23,1.0,,0.0
2021-07-08,2.0,,0.0
2021-07-16,1.0,,0.0
2021-07-28,3.0,,0.0
2021-08-26,2.0,,0.0
2022-01-05,1.0,,0.0
2022-01-09,5.0,,0.0
2022-01-18,3.0,,0.0
2022-03-02,3.0,,0.0
2022-03-13,18.0,,0.0
2022-04-02,8.0,,0.0
2022-05-28,17.0,,0.0
2022-12-16,10.0,,0.0
2022-12-28,9.0,,0.0
2023-01-09,2.0,,0.0
2023-01-13,7.0,,0.0
2023-01-22,13.0,,0.0
2023-02-06,7.0,,0.0
2023-02-16,3.0,,0.0
2023-02-26,3.0,,0.0
2023-04-27,18.0,,0.0
2023-06-27,6.0,,0.0
2023-07-21,3.0,,0.0
2023-07-28,2.0,,0.0
