,dayStart,duration,elev,Duration in Days
0,2013-11-11,1.0,2.93,0.0
1,2013-11-12,1.0,2.56,0.0
2,2013-11-13,1.0,2.46,0.0
3,2013-11-14,1.0,2.87,0.0
4,2013-11-19,1.0,2.98,0.0
5,2013-11-20,1.0,2.84,0.0
6,2013-11-21,1.0,2.78,0.0
7,2013-11-22,1.0,2.94,0.0
8,2013-11-24,1.0,2.94,0.0
9,2014-10-13,1.0,2.99,0.0
10,2014-10-31,1.0,2.99,0.0
11,2014-11-01,1.0,2.72,0.0
12,2014-11-02,1.0,2.54,0.0
13,2014-11-03,1.0,2.26,0.0
14,2014-11-04,1.0,2.42,0.0
15,2014-11-05,1.0,2.64,0.0
16,2014-11-06,1.0,2.64,0.0
17,2014-11-07,1.0,2.56,0.0
18,2014-11-08,1.0,2.58,0.0
19,2014-11-09,1.0,2.65,0.0
20,2014-11-10,1.0,2.63,0.0
21,2014-11-11,1.0,2.58,0.0
22,2014-11-12,1.0,2.63,0.0
23,2014-11-13,1.0,2.7,0.0
24,2014-11-14,1.0,2.46,0.0
25,2014-11-15,1.0,2.29,0.0
26,2014-11-16,1.0,2.43,0.0
27,2014-11-17,1.0,2.69,0.0
28,2014-11-18,1.0,2.82,0.0
29,2014-11-19,1.0,2.64,0.0
30,2014-11-20,1.0,2.94,0.0
31,2014-11-22,1.0,2.79,0.0
32,2014-11-23,1.0,2.78,0.0
33,2015-08-23,1.0,2.93,0.0
34,2015-08-24,1.0,2.87,0.0
35,2015-09-15,1.0,2.93,0.0
36,2015-09-21,1.0,2.78,0.0
37,2015-09-22,1.0,2.37,0.0
38,2015-09-23,1.0,2.74,0.0
39,2017-03-04,1.0,2.87,0.0
40,2017-03-05,1.0,2.98,0.0
41,2017-03-06,1.0,2.93,0.0
42,2017-03-07,1.0,2.95,0.0
43,2017-03-09,1.0,2.97,0.0
44,2017-03-10,1.0,2.8,0.0
45,2017-03-11,1.0,2.8,0.0
46,2017-03-12,1.0,2.94,0.0
47,2017-10-22,1.0,2.98,0.0
48,2017-10-23,1.0,2.99,0.0
49,2017-11-05,1.0,2.9,0.0
50,2017-11-06,1.0,2.97,0.0
51,2017-11-08,1.0,2.97,0.0
52,2017-11-09,1.0,2.9,0.0
53,2017-11-11,1.0,2.95,0.0
54,2017-11-12,1.0,2.78,0.0
55,2017-11-13,1.0,2.9,0.0
56,2017-11-14,1.0,2.81,0.0
57,2017-11-15,1.0,2.64,0.0
58,2017-11-16,1.0,2.7,0.0
59,2017-11-17,1.0,2.91,0.0
60,2017-11-18,1.0,2.95,0.0
61,2017-11-19,1.0,2.99,0.0
62,2017-11-20,1.0,2.81,0.0
63,2017-11-21,1.0,2.71,0.0
64,2017-11-22,1.0,2.72,0.0
65,2017-11-23,1.0,2.59,0.0
66,2017-11-24,1.0,2.53,0.0
67,2017-11-25,1.0,2.49,0.0
68,2017-11-26,1.0,2.62,0.0
69,2017-11-27,1.0,2.63,0.0
70,2017-11-30,1.0,2.96,0.0
71,2017-12-01,1.0,2.89,0.0
72,2017-12-02,1.0,2.81,0.0
73,2017-12-03,1.0,2.85,0.0
74,2017-12-04,1.0,2.79,0.0
75,2017-12-05,1.0,2.86,0.0
76,2017-12-07,1.0,2.93,0.0
77,2017-12-18,1.0,2.93,0.0
78,2017-12-19,1.0,2.66,0.0
79,2017-12-20,1.0,2.65,0.0
80,2017-12-21,1.0,2.65,0.0
81,2017-12-22,1.0,2.58,0.0
82,2017-12-23,1.0,2.69,0.0
83,2017-12-24,1.0,2.93,0.0
84,2017-12-25,1.0,2.56,0.0
85,2017-12-26,1.0,2.31,0.0
86,2017-12-27,1.0,2.35,0.0
87,2017-12-28,1.0,2.27,0.0
88,2017-12-29,1.0,2.03,0.0
89,2017-12-30,1.0,2.13,0.0
90,2017-12-31,1.0,2.26,0.0
91,2018-01-09,1.0,2.13,0.0
92,2018-01-10,1.0,2.15,0.0
93,2018-01-11,1.0,2.19,0.0
94,2018-01-12,1.0,2.53,0.0
95,2018-01-18,1.0,2.96,0.0
96,2018-01-19,1.0,2.74,0.0
97,2018-01-20,1.0,2.91,0.0
98,2018-01-21,1.0,2.93,0.0
99,2018-01-22,1.0,2.84,0.0
100,2018-01-23,1.0,2.81,0.0
101,2018-01-24,1.0,2.86,0.0
102,2018-01-25,1.0,2.72,0.0
103,2018-01-26,1.0,2.62,0.0
104,2018-01-27,1.0,2.61,0.0
105,2018-01-28,1.0,2.62,0.0
106,2019-10-01,1.0,2.83,0.0
107,2019-10-02,1.0,2.87,0.0
108,2019-10-09,1.0,2.77,0.0
109,2019-10-10,1.0,2.47,0.0
110,2019-10-11,1.0,2.54,0.0
111,2019-10-12,1.0,2.92,0.0
112,2019-10-29,1.0,2.97,0.0
113,2019-11-30,1.0,2.99,0.0
114,2021-09-20,1.0,2.99,0.0
115,2021-09-27,1.0,2.91,0.0
116,2021-10-04,1.0,2.95,0.0
117,2021-10-11,1.0,2.97,0.0
118,2021-11-21,1.0,2.88,0.0
119,2021-11-22,1.0,2.99,0.0
120,2021-11-23,1.0,2.9,0.0
121,2021-11-24,1.0,2.64,0.0
122,2021-11-27,1.0,3.0,0.0
123,2021-11-28,1.0,2.81,0.0
124,2021-11-29,1.0,2.82,0.0
125,2021-11-30,1.0,2.69,0.0
126,2021-12-20,1.0,2.98,0.0
127,2022-07-04,1.0,2.82,0.0
128,2022-07-05,1.0,2.64,0.0
129,2022-07-11,1.0,3.0,0.0
130,2022-09-05,1.0,2.92,0.0
131,2022-09-26,1.0,2.92,0.0
