,dayStart,duration,elev,Duration in Days
0,2013-11-15,1.0,3.19,0.0
1,2013-11-16,1.0,3.29,0.0
2,2013-11-17,1.0,3.04,0.0
3,2013-11-18,1.0,3.03,0.0
4,2013-11-23,1.0,3.12,0.0
5,2013-11-26,1.0,3.32,0.0
6,2014-07-07,1.0,3.45,0.0
7,2014-07-20,1.0,3.41,0.0
8,2014-07-21,1.0,3.13,0.0
9,2014-07-22,1.0,3.35,0.0
10,2014-10-02,1.0,3.48,0.0
11,2014-10-03,1.0,3.48,0.0
12,2014-10-04,1.0,3.42,0.0
13,2014-10-05,1.0,3.17,0.0
14,2014-10-06,1.0,3.19,0.0
15,2014-10-07,1.0,3.28,0.0
16,2014-10-08,1.0,3.16,0.0
17,2014-10-09,1.0,3.1,0.0
18,2014-10-10,1.0,3.02,0.0
19,2014-10-11,1.0,3.25,0.0
20,2014-10-12,1.0,3.26,0.0
21,2014-10-14,1.0,3.38,0.0
22,2014-11-21,1.0,3.06,0.0
23,2014-11-24,1.0,3.03,0.0
24,2014-11-25,1.0,3.3,0.0
25,2015-05-26,1.0,3.39,0.0
26,2015-05-27,1.0,3.4,0.0
27,2015-05-28,1.0,3.36,0.0
28,2015-05-29,1.0,3.34,0.0
29,2015-05-30,1.0,3.33,0.0
30,2015-05-31,1.0,3.31,0.0
31,2015-06-01,1.0,3.26,0.0
32,2015-06-02,1.0,3.2,0.0
33,2015-06-03,1.0,3.36,0.0
34,2015-07-27,1.0,3.49,0.0
35,2015-08-10,1.0,3.38,0.0
36,2015-08-17,1.0,3.5,0.0
37,2015-08-22,1.0,3.37,0.0
38,2015-08-25,1.0,3.02,0.0
39,2015-08-26,1.0,3.15,0.0
40,2015-08-30,1.0,3.15,0.0
41,2015-08-31,1.0,3.07,0.0
42,2015-09-06,1.0,3.49,0.0
43,2015-09-07,1.0,3.22,0.0
44,2015-09-08,1.0,3.12,0.0
45,2015-09-14,1.0,3.33,0.0
46,2015-09-16,1.0,3.34,0.0
47,2016-11-21,1.0,3.43,0.0
48,2016-11-22,1.0,3.48,0.0
49,2016-12-02,1.0,3.42,0.0
50,2016-12-03,1.0,3.21,0.0
51,2016-12-04,1.0,3.16,0.0
52,2016-12-05,1.0,3.36,0.0
53,2016-12-27,1.0,3.5,0.0
54,2017-02-27,1.0,3.5,0.0
55,2017-02-28,1.0,3.26,0.0
56,2017-03-01,1.0,3.23,0.0
57,2017-03-02,1.0,3.42,0.0
58,2017-03-03,1.0,3.19,0.0
59,2017-03-08,1.0,3.03,0.0
60,2017-03-13,1.0,3.03,0.0
61,2017-03-14,1.0,3.31,0.0
62,2017-03-24,1.0,3.38,0.0
63,2017-09-26,1.0,3.41,0.0
64,2017-10-02,1.0,3.3,0.0
65,2017-10-03,1.0,3.46,0.0
66,2017-10-05,1.0,3.32,0.0
67,2017-10-06,1.0,3.31,0.0
68,2017-10-07,1.0,3.35,0.0
69,2017-10-08,1.0,3.41,0.0
70,2017-10-16,1.0,3.4,0.0
71,2017-10-17,1.0,3.35,0.0
72,2017-10-21,1.0,3.18,0.0
73,2017-10-24,1.0,3.27,0.0
74,2017-10-30,1.0,3.18,0.0
75,2017-10-31,1.0,3.3,0.0
76,2017-11-03,1.0,3.37,0.0
77,2017-11-04,1.0,3.13,0.0
78,2017-11-07,1.0,3.14,0.0
79,2017-11-10,1.0,3.03,0.0
80,2017-11-28,1.0,3.4,0.0
81,2017-11-29,1.0,3.31,0.0
82,2017-12-06,1.0,3.05,0.0
83,2017-12-13,1.0,3.32,0.0
84,2018-01-16,1.0,3.4,0.0
85,2018-01-17,1.0,3.2,0.0
86,2018-01-29,1.0,3.01,0.0
87,2018-02-13,1.0,3.42,0.0
88,2018-02-16,1.0,3.44,0.0
89,2018-02-17,1.0,3.32,0.0
90,2018-07-16,1.0,3.41,0.0
91,2018-09-04,1.0,3.41,0.0
92,2019-08-28,1.0,3.43,0.0
93,2019-09-20,1.0,3.23,0.0
94,2019-09-21,1.0,3.41,0.0
95,2019-09-30,1.0,3.18,0.0
96,2019-10-06,1.0,3.44,0.0
97,2019-10-07,1.0,3.21,0.0
98,2019-10-08,1.0,3.19,0.0
99,2019-10-13,1.0,3.35,0.0
100,2019-10-18,1.0,3.25,0.0
101,2019-10-19,1.0,3.32,0.0
102,2019-10-24,1.0,3.4,0.0
103,2019-10-25,1.0,3.2,0.0
104,2019-10-26,1.0,3.2,0.0
105,2019-10-27,1.0,3.16,0.0
106,2019-10-28,1.0,3.19,0.0
107,2019-10-30,1.0,3.09,0.0
108,2019-10-31,1.0,3.21,0.0
109,2019-11-01,1.0,3.35,0.0
110,2019-11-02,1.0,3.41,0.0
111,2019-11-28,1.0,3.33,0.0
112,2019-11-29,1.0,3.08,0.0
113,2021-07-04,1.0,3.31,0.0
114,2021-07-05,1.0,3.35,0.0
115,2021-09-05,1.0,3.42,0.0
116,2021-09-06,1.0,3.26,0.0
117,2021-09-07,1.0,3.18,0.0
118,2021-09-19,1.0,3.09,0.0
119,2021-09-26,1.0,3.18,0.0
120,2021-10-03,1.0,3.32,0.0
121,2021-10-09,1.0,3.22,0.0
122,2021-10-10,1.0,3.2,0.0
123,2021-10-25,1.0,3.23,0.0
124,2021-11-08,1.0,3.18,0.0
125,2021-11-16,1.0,3.16,0.0
126,2021-11-19,1.0,3.3,0.0
127,2021-11-20,1.0,3.03,0.0
128,2021-12-04,1.0,3.15,0.0
129,2021-12-05,1.0,3.07,0.0
130,2021-12-06,1.0,3.03,0.0
131,2021-12-07,1.0,3.2,0.0
132,2021-12-13,1.0,3.27,0.0
