,dayStart,duration,elev,Duration in Days
0,2019-09-06 07:00:00,3.0,3.05,0.1
1,2020-08-17 19:00:00,1.0,3.42,0.0
2,2020-08-18 02:00:00,2.0,3.05,0.1
3,2020-08-18 09:00:00,1.0,3.34,0.0
4,2020-08-18 13:00:00,1.0,3.4,0.0
5,2020-08-25 17:00:00,14.0,3.43,0.6
6,2020-10-02 05:00:00,3.0,3.02,0.1
7,2020-10-04 23:00:00,2.0,3.35,0.1
8,2020-10-05 10:00:00,1.0,3.03,0.0
9,2020-10-05 13:00:00,3.0,3.29,0.1
10,2020-10-05 21:00:00,8.0,3.5,0.3
11,2020-10-06 09:00:00,1.0,3.03,0.0
12,2020-10-06 14:00:00,1.0,3.41,0.0
13,2020-10-12 03:00:00,4.0,3.12,0.2
14,2020-10-12 12:00:00,1.0,3.01,0.0
15,2020-10-15 15:00:00,1.0,3.44,0.0
16,2020-10-16 05:00:00,3.0,3.1,0.1
17,2020-10-16 15:00:00,1.0,3.31,0.0
18,2020-10-16 19:00:00,6.0,3.3,0.2
19,2020-10-17 02:00:00,4.0,3.12,0.2
20,2020-10-26 06:00:00,1.0,3.36,0.0
21,2022-12-04 11:00:00,1.0,3.04,0.0
22,2022-12-04 15:00:00,1.0,3.16,0.0
23,2022-12-05 10:00:00,25.0,3.07,1.0
24,2022-12-06 12:00:00,1.0,3.48,0.0
25,2022-12-07 04:00:00,1.0,3.47,0.0
26,2023-02-06 10:00:00,1.0,3.4,0.0
27,2023-02-06 17:00:00,2.0,3.37,0.1
28,2023-02-14 15:00:00,1.0,3.32,0.0
29,2023-02-15 15:00:00,48.0,3.33,2.0
30,2023-02-18 08:00:00,9.0,3.41,0.4
31,2023-02-19 07:00:00,2.0,3.49,0.1
32,2023-02-19 10:00:00,5.0,3.42,0.2
33,2023-02-21 02:00:00,15.0,3.04,0.6
34,2023-02-24 15:00:00,8.0,3.04,0.3
35,2023-02-28 09:00:00,4.0,3.06,0.2
36,2023-02-28 16:00:00,1.0,3.07,0.0
37,2023-07-27 21:00:00,6.0,3.2,0.2
38,2023-07-28 07:00:00,6.0,3.41,0.2
