,dayStart,duration,elev,Duration in Days
0,2018-12-04 12:00:00,491.0,0.71,20.5
1,2018-12-28 05:00:00,1725.0,0.34,71.9
2,2019-03-10 03:00:00,2412.0,0.33,100.5
3,2019-06-19 03:00:00,4.0,0.71,0.2
4,2019-06-24 07:00:00,1223.0,0.52,51.0
5,2019-08-14 09:00:00,542.0,0.49,22.6
6,2019-09-06 00:00:00,1.0,1.48,0.0
7,2019-09-06 13:00:00,54.0,1.26,2.2
8,2019-09-08 20:00:00,2.0,1.39,0.1
9,2019-09-09 04:00:00,5.0,1.5,0.2
10,2019-09-09 12:00:00,809.0,1.43,33.7
11,2019-10-13 07:00:00,4.0,1.5,0.2
12,2019-10-14 01:00:00,1.0,1.49,0.0
13,2019-10-14 23:00:00,42.0,1.48,1.8
14,2019-10-16 19:00:00,367.0,1.49,15.3
15,2019-11-01 03:00:00,236.0,1.36,9.8
16,2019-11-11 00:00:00,397.0,0.81,16.5
17,2019-11-29 15:00:00,2387.0,-0.18,99.5
18,2020-03-08 03:00:00,227.0,-0.56,9.5
19,2020-03-17 17:00:00,1584.0,-0.31,66.0
20,2020-05-22 20:00:00,1268.0,1.49,52.8
21,2020-07-14 18:00:00,188.0,0.69,7.8
22,2020-07-23 12:00:00,262.0,0.59,10.9
23,2020-08-03 13:00:00,314.0,0.88,13.1
24,2020-08-16 21:00:00,12.0,1.45,0.5
25,2020-08-18 20:00:00,11.0,1.48,0.5
26,2020-08-19 15:00:00,42.0,0.91,1.8
27,2020-08-21 18:00:00,10.0,1.39,0.4
28,2020-08-26 14:00:00,504.0,0.63,21.0
29,2020-09-16 20:00:00,7.0,1.49,0.3
30,2020-09-28 19:00:00,10.0,1.27,0.4
31,2020-10-04 15:00:00,2.0,1.49,0.1
32,2020-10-06 19:00:00,13.0,1.38,0.5
33,2020-10-08 20:00:00,22.0,1.31,0.9
34,2020-10-11 04:00:00,7.0,1.45,0.3
35,2020-10-11 20:00:00,2.0,1.31,0.1
36,2020-10-12 09:00:00,2.0,1.45,0.1
37,2020-10-17 08:00:00,2.0,1.27,0.1
38,2020-10-17 23:00:00,2.0,1.5,0.1
39,2020-10-18 06:00:00,1.0,1.5,0.0
40,2020-10-25 19:00:00,1.0,1.39,0.0
41,2020-10-26 17:00:00,16.0,1.48,0.7
42,2020-10-27 11:00:00,2226.0,1.17,92.8
43,2021-01-28 07:00:00,529.0,0.37,22.0
44,2021-02-19 22:00:00,532.0,0.46,22.2
45,2021-03-14 03:00:00,7086.0,-0.11,295.2
46,2022-01-03 12:00:00,441.0,1.5,18.4
47,2022-01-22 11:00:00,1191.0,-0.76,49.6
48,2022-03-13 03:00:00,1981.0,-0.3,82.5
49,2022-06-06 15:00:00,1507.0,0.19,62.8
50,2022-08-08 11:00:00,25.0,0.12,1.0
51,2022-08-09 14:00:00,14.0,0.2,0.6
52,2022-08-10 05:00:00,3.0,0.32,0.1
53,2022-08-10 15:00:00,12.0,0.16,0.5
54,2022-08-11 05:00:00,3.0,-0.05,0.1
55,2022-08-11 09:00:00,3.0,-0.12,0.1
56,2022-08-11 15:00:00,3.0,-0.08,0.1
57,2022-08-12 06:00:00,14.0,0.1,0.6
58,2022-08-12 21:00:00,2.0,0.11,0.1
59,2022-08-13 00:00:00,29.0,0.01,1.2
60,2022-08-14 06:00:00,33.0,0.09,1.4
61,2022-08-15 16:00:00,33.0,0.83,1.4
62,2022-08-17 03:00:00,13.0,0.42,0.5
63,2022-08-17 18:00:00,850.0,0.22,35.4
64,2022-09-22 06:00:00,659.0,0.49,27.5
65,2022-10-20 06:00:00,27.0,1.06,1.1
66,2022-10-21 10:00:00,89.0,1.49,3.7
67,2022-10-25 08:00:00,1.0,1.5,0.0
68,2022-10-25 10:00:00,3.0,1.5,0.1
69,2022-10-25 22:00:00,3.0,1.48,0.1
70,2022-10-28 02:00:00,12.0,1.49,0.5
71,2022-10-29 00:00:00,43.0,1.46,1.8
72,2022-10-31 01:00:00,1.0,1.49,0.0
73,2022-11-02 11:00:00,222.0,1.26,9.2
74,2022-11-12 21:00:00,2.0,1.48,0.1
75,2022-11-13 10:00:00,417.0,1.48,17.4
76,2022-11-30 23:00:00,82.0,1.45,3.4
77,2022-12-07 11:00:00,191.0,1.33,8.0
78,2022-12-15 11:00:00,7.0,1.48,0.3
79,2022-12-16 01:00:00,1.0,1.47,0.0
80,2022-12-16 04:00:00,5.0,1.46,0.2
81,2022-12-18 15:00:00,1.0,1.48,0.0
82,2022-12-18 19:00:00,2.0,1.46,0.1
83,2022-12-18 23:00:00,573.0,1.5,23.9
84,2023-01-12 04:00:00,534.0,0.47,22.2
85,2023-02-03 21:00:00,1.0,1.5,0.0
