,dayStart,duration,elev,Duration in Days
0,2019-09-05 23:00:00,1.0,1.56,0.0
1,2019-09-06 01:00:00,3.0,1.55,0.1
2,2019-09-06 12:00:00,1.0,1.82,0.0
3,2019-09-08 19:00:00,1.0,1.66,0.0
4,2019-09-08 22:00:00,6.0,1.53,0.2
5,2019-09-09 09:00:00,3.0,1.52,0.1
6,2019-10-13 05:00:00,2.0,1.51,0.1
7,2019-10-13 11:00:00,14.0,1.54,0.6
8,2019-10-14 02:00:00,21.0,1.56,0.9
9,2019-10-16 17:00:00,2.0,1.74,0.1
10,2019-11-01 02:00:00,1.0,1.73,0.0
11,2020-05-22 17:00:00,3.0,1.56,0.1
12,2020-08-16 15:00:00,6.0,1.63,0.2
13,2020-08-17 09:00:00,1.0,1.94,0.0
14,2020-08-17 21:00:00,5.0,1.81,0.2
15,2020-08-21 09:00:00,9.0,1.67,0.4
16,2020-08-22 04:00:00,5.0,1.53,0.2
17,2020-08-26 13:00:00,1.0,1.55,0.0
18,2020-09-16 14:00:00,6.0,1.52,0.2
19,2020-09-17 03:00:00,16.0,1.51,0.7
20,2020-09-19 01:00:00,4.0,1.97,0.2
21,2020-09-19 07:00:00,5.0,1.98,0.2
22,2020-09-19 20:00:00,10.0,1.93,0.4
23,2020-09-20 10:00:00,5.0,2.0,0.2
24,2020-09-20 17:00:00,52.0,2.0,2.2
25,2020-09-28 18:00:00,1.0,1.86,0.0
26,2020-09-29 05:00:00,2.0,1.66,0.1
27,2020-09-29 08:00:00,2.0,1.92,0.1
28,2020-10-03 06:00:00,2.0,1.96,0.1
29,2020-10-03 10:00:00,6.0,2.0,0.2
30,2020-10-04 11:00:00,2.0,1.8,0.1
31,2020-10-04 17:00:00,1.0,1.88,0.0
32,2020-10-05 11:00:00,2.0,1.91,0.1
33,2020-10-06 17:00:00,2.0,1.99,0.1
34,2020-10-07 08:00:00,4.0,1.61,0.2
35,2020-10-08 17:00:00,3.0,1.84,0.1
36,2020-10-09 18:00:00,34.0,1.55,1.4
37,2020-10-11 11:00:00,7.0,1.83,0.3
38,2020-10-11 19:00:00,1.0,1.62,0.0
39,2020-10-11 22:00:00,1.0,1.7,0.0
40,2020-10-15 11:00:00,2.0,1.97,0.1
41,2020-10-15 18:00:00,2.0,1.72,0.1
42,2020-10-17 10:00:00,13.0,1.6,0.5
43,2020-10-18 01:00:00,5.0,1.54,0.2
44,2020-10-18 07:00:00,57.0,1.64,2.4
45,2020-10-20 23:00:00,5.0,2.0,0.2
46,2020-10-21 09:00:00,1.0,1.97,0.0
47,2020-10-22 02:00:00,1.0,2.0,0.0
48,2020-10-22 12:00:00,48.0,2.0,2.0
49,2020-10-24 13:00:00,4.0,2.0,0.2
50,2020-10-25 16:00:00,3.0,2.0,0.1
51,2020-10-25 20:00:00,1.0,1.58,0.0
52,2020-10-26 01:00:00,4.0,1.93,0.2
53,2020-10-26 13:00:00,4.0,1.9,0.2
54,2020-10-27 09:00:00,2.0,1.51,0.1
55,2022-01-03 09:00:00,3.0,1.73,0.1
56,2022-08-15 15:00:00,1.0,1.57,0.0
57,2022-10-21 09:00:00,1.0,1.52,0.0
58,2022-10-25 03:00:00,5.0,1.53,0.2
59,2022-10-25 09:00:00,1.0,1.53,0.0
60,2022-10-25 13:00:00,9.0,1.51,0.4
61,2022-10-26 01:00:00,26.0,1.52,1.1
62,2022-10-27 09:00:00,17.0,1.96,0.7
63,2022-10-28 14:00:00,10.0,1.53,0.4
64,2022-10-30 19:00:00,6.0,1.52,0.2
65,2022-10-31 02:00:00,19.0,1.53,0.8
66,2022-11-01 00:00:00,4.0,1.98,0.2
67,2022-11-01 15:00:00,6.0,2.0,0.2
68,2022-11-01 22:00:00,13.0,1.98,0.5
69,2022-11-11 17:00:00,28.0,1.52,1.2
70,2022-11-12 23:00:00,11.0,1.51,0.5
71,2022-11-30 19:00:00,4.0,1.52,0.2
72,2022-12-04 09:00:00,1.0,1.69,0.0
73,2022-12-15 10:00:00,1.0,1.53,0.0
74,2022-12-15 18:00:00,7.0,1.56,0.3
75,2022-12-16 02:00:00,2.0,1.53,0.1
76,2022-12-16 09:00:00,54.0,1.52,2.2
77,2022-12-18 16:00:00,3.0,1.65,0.1
78,2022-12-18 21:00:00,2.0,1.51,0.1
79,2023-02-03 10:00:00,11.0,1.61,0.5
80,2023-02-03 22:00:00,1.0,1.54,0.0
81,2023-02-05 10:00:00,17.0,1.54,0.7
82,2023-02-06 04:00:00,4.0,1.99,0.2
83,2023-02-07 03:00:00,3.0,1.9,0.1
84,2023-02-07 08:00:00,3.0,1.54,0.1
