,dayStart,duration,elev,Duration in Days
0,2019-09-06 04:00:00,3.0,2.16,0.1
1,2019-09-06 10:00:00,2.0,2.76,0.1
2,2019-11-10 23:00:00,1.0,2.76,0.0
3,2020-08-17 20:00:00,1.0,2.75,0.0
4,2020-08-18 04:00:00,5.0,2.98,0.2
5,2020-08-18 14:00:00,6.0,2.95,0.2
6,2020-08-19 07:00:00,1.0,2.16,0.0
7,2020-08-22 09:00:00,1.0,2.4,0.0
8,2020-09-17 19:00:00,30.0,2.02,1.2
9,2020-09-19 05:00:00,2.0,2.09,0.1
10,2020-09-19 12:00:00,8.0,2.03,0.3
11,2020-09-20 06:00:00,4.0,2.02,0.2
12,2020-09-20 15:00:00,2.0,2.06,0.1
13,2020-09-22 21:00:00,141.0,2.05,5.9
14,2020-09-29 07:00:00,1.0,2.09,0.0
15,2020-09-29 10:00:00,67.0,2.21,2.8
16,2020-10-02 08:00:00,8.0,3.0,0.3
17,2020-10-02 20:00:00,10.0,2.95,0.4
18,2020-10-03 08:00:00,2.0,2.08,0.1
19,2020-10-03 16:00:00,19.0,2.14,0.8
20,2020-10-04 13:00:00,2.0,2.07,0.1
21,2020-10-04 18:00:00,1.0,2.45,0.0
22,2020-10-05 09:00:00,1.0,2.83,0.0
23,2020-10-06 10:00:00,3.0,2.63,0.1
24,2020-10-06 15:00:00,2.0,2.28,0.1
25,2020-10-07 12:00:00,29.0,2.17,1.2
26,2020-10-11 18:00:00,1.0,2.07,0.0
27,2020-10-11 23:00:00,4.0,2.13,0.2
28,2020-10-12 07:00:00,2.0,2.84,0.1
29,2020-10-12 11:00:00,1.0,2.53,0.0
30,2020-10-12 13:00:00,70.0,2.96,2.9
31,2020-10-15 13:00:00,2.0,2.06,0.1
32,2020-10-15 16:00:00,2.0,2.64,0.1
33,2020-10-15 20:00:00,9.0,2.13,0.4
34,2020-10-17 01:00:00,1.0,3.0,0.0
35,2020-10-17 06:00:00,2.0,2.76,0.1
36,2020-10-20 16:00:00,7.0,2.02,0.3
37,2020-10-21 04:00:00,5.0,2.04,0.2
38,2020-10-21 10:00:00,16.0,2.01,0.7
39,2020-10-22 03:00:00,9.0,2.01,0.4
40,2020-10-24 12:00:00,1.0,2.01,0.0
41,2020-10-24 17:00:00,23.0,2.05,1.0
42,2020-10-25 21:00:00,4.0,2.43,0.2
43,2020-10-26 05:00:00,1.0,2.4,0.0
44,2020-10-26 11:00:00,2.0,2.6,0.1
45,2022-08-14 05:00:00,1.0,2.2,0.0
46,2022-10-27 03:00:00,6.0,2.03,0.2
47,2022-10-31 21:00:00,3.0,2.03,0.1
48,2022-11-01 04:00:00,11.0,2.02,0.5
49,2022-11-01 21:00:00,1.0,2.03,0.0
50,2022-12-04 10:00:00,1.0,2.74,0.0
51,2022-12-04 14:00:00,1.0,2.99,0.0
52,2022-12-04 16:00:00,18.0,2.84,0.8
53,2022-12-07 10:00:00,1.0,2.31,0.0
54,2023-02-06 03:00:00,1.0,2.01,0.0
55,2023-02-06 08:00:00,2.0,2.06,0.1
56,2023-02-06 11:00:00,3.0,2.84,0.1
57,2023-02-06 21:00:00,6.0,2.9,0.2
58,2023-02-14 07:00:00,2.0,2.48,0.1
59,2023-02-14 12:00:00,1.0,2.72,0.0
60,2023-02-14 14:00:00,1.0,2.68,0.0
61,2023-02-19 15:00:00,35.0,2.94,1.5
62,2023-02-21 17:00:00,1.0,2.84,0.0
63,2023-02-23 22:00:00,17.0,2.14,0.7
64,2023-02-24 23:00:00,82.0,2.98,3.4
65,2023-02-28 13:00:00,3.0,2.96,0.1
66,2023-02-28 17:00:00,45.0,2.91,1.9
67,2023-07-07 10:00:00,8.0,2.93,0.3
68,2023-07-28 13:00:00,67.0,2.98,2.8
69,2023-07-31 13:00:00,3.0,2.05,0.1
70,2023-07-31 20:00:00,12.0,2.02,0.5
71,2023-08-04 17:00:00,17.0,2.24,0.7
72,2023-08-10 20:00:00,6.0,2.01,0.2
73,2023-08-11 03:00:00,3.0,2.02,0.1
