Month,Day,MF,Day2
1,1/1/2014,9668,1
1,1/2/2014,9975,2
1,1/3/2014,10496,3
1,1/4/2014,11628,4
1,1/5/2014,12588,5
1,1/6/2014,12620,6
1,1/7/2014,11800,7
1,1/8/2014,10762,8
1,1/9/2014,9889,9
1,1/10/2014,9194,10
1,1/11/2014,8929,11
1,1/12/2014,9118,12
1,1/13/2014,9724,13
1,1/14/2014,10100,14
1,1/15/2014,10204,15
1,1/16/2014,9963,16
1,1/17/2014,9599,17
1,1/18/2014,9163,18
1,1/19/2014,8385,19
1,1/20/2014,7514,20
1,1/21/2014,6959,21
1,1/22/2014,6672,22
1,1/23/2014,6417,23
1,1/24/2014,6662,24
1,1/25/2014,7482,25
1,1/26/2014,8326,26
1,1/27/2014,9136,27
1,1/28/2014,8999,28
1,1/29/2014,8725,29
1,1/30/2014,8550,30
1,1/31/2014,8254,31
2,2/1/2014,7773,32
2,2/2/2014,7136,33
2,2/3/2014,6705,34
2,2/4/2014,7064,35
2,2/5/2014,7716,36
2,2/6/2014,7753,37
2,2/7/2014,8486,38
2,2/8/2014,9025,39
2,2/9/2014,8749,40
2,2/10/2014,8518,41
2,2/11/2014,7597,42
2,2/12/2014,7069,43
2,2/13/2014,7650,44
2,2/14/2014,8510,45
2,2/15/2014,9021,46
2,2/16/2014,9621,47
2,2/17/2014,10880,48
2,2/18/2014,11212,49
2,2/19/2014,11232,50
2,2/20/2014,11268,51
2,2/21/2014,11172,52
2,2/22/2014,10880,53
2,2/23/2014,10566,54
2,2/24/2014,10301,55
2,2/25/2014,10096,56
2,2/26/2014,10078,57
2,2/27/2014,10119,58
2,2/28/2014,9766,59
2,3/1/2014,13688,60
3,3/1/2014,8892,61
3,3/2/2014,8541,62
3,3/3/2014,8375,63
3,3/4/2014,8314,64
3,3/5/2014,8432,65
3,3/6/2014,8281,66
3,3/7/2014,8106,67
3,3/8/2014,8415,68
3,3/9/2014,8627,69
3,3/10/2014,8496,70
3,3/11/2014,8446,71
3,3/12/2014,8158,72
3,3/13/2014,8194,73
3,3/14/2014,8359,74
3,3/15/2014,8288,75
3,3/16/2014,7836,76
3,3/17/2014,7647,77
3,3/18/2014,8140,78
3,3/19/2014,8321,79
3,3/20/2014,8124,80
3,3/21/2014,7966,81
3,3/22/2014,8042,82
3,3/23/2014,7707,83
3,3/24/2014,6957,84
3,3/25/2014,6413,85
3,3/26/2014,6431,86
3,3/27/2014,6694,87
3,3/28/2014,7120,88
3,3/29/2014,7654,89
3,3/30/2014,7828,90
3,3/31/2014,7152,91
4,4/1/2014,6366,92
4,4/2/2014,6034,93
4,4/3/2014,5683,94
4,4/4/2014,4969,95
4,4/5/2014,4258,96
4,4/6/2014,4064,97
4,4/7/2014,4382,98
4,4/8/2014,5004,99
4,4/9/2014,6237,100
4,4/10/2014,7453,101
4,4/11/2014,7854,102
4,4/12/2014,7534,103
4,4/13/2014,7288,104
4,4/14/2014,7172,105
4,4/15/2014,6965,106
4,4/16/2014,7235,107
4,4/17/2014,7946,108
4,4/18/2014,7974,109
4,4/19/2014,7714,110
4,4/20/2014,7883,111
4,4/21/2014,8195,112
4,4/22/2014,7562,113
4,4/23/2014,6886,114
4,4/24/2014,6282,115
4,4/25/2014,6354,116
4,4/26/2014,7283,117
4,4/27/2014,7351,118
4,4/28/2014,7136,119
4,4/29/2014,6844,120
4,4/30/2014,6962,121
5,5/1/2014,7250,122
5,5/2/2014,7722,123
5,5/3/2014,7627,124
5,5/4/2014,7260,125
5,5/5/2014,6622,126
5,5/6/2014,6198,127
5,5/7/2014,5852,128
5,5/8/2014,5328,129
5,5/9/2014,4462,130
5,5/10/2014,3561,131
5,5/11/2014,3020,132
5,5/12/2014,2686,133
5,5/13/2014,2558,134
5,5/14/2014,2457,135
5,5/15/2014,2425,136
5,5/16/2014,3054,137
5,5/17/2014,3660,138
5,5/18/2014,3660,139
5,5/19/2014,3572,140
5,5/20/2014,3546,141
5,5/21/2014,4089,142
5,5/22/2014,5115,143
5,5/23/2014,5475,144
5,5/24/2014,5851,145
5,5/25/2014,5805,146
5,5/26/2014,5623,147
5,5/27/2014,5598,148
5,5/28/2014,5329,149
5,5/29/2014,5171,150
5,5/30/2014,5370,151
5,5/31/2014,5573,152
6,6/1/2014,5579,153
6,6/2/2014,5383,154
6,6/3/2014,4905,155
6,6/4/2014,4389,156
6,6/5/2014,3898,157
6,6/6/2014,3691,158
6,6/7/2014,3605,159
6,6/8/2014,3537,160
6,6/9/2014,3542,161
6,6/10/2014,3504,162
6,6/11/2014,3550,163
6,6/12/2014,3520,164
6,6/13/2014,3784,165
6,6/14/2014,3468,166
6,6/15/2014,3074,167
6,6/16/2014,3250,168
6,6/17/2014,3447,169
6,6/18/2014,3397,170
6,6/19/2014,3172,171
6,6/20/2014,3235,172
6,6/21/2014,3588,173
6,6/22/2014,3912,174
6,6/23/2014,3693,175
6,6/24/2014,3329,176
6,6/25/2014,3318,177
6,6/26/2014,3280,178
6,6/27/2014,3118,179
6,6/28/2014,3101,180
6,6/29/2014,3102,181
6,6/30/2014,2791,182
7,7/1/2014,3618,183
7,7/2/2014,3594,184
7,7/3/2014,3699,185
7,7/4/2014,3953,186
7,7/5/2014,4100,187
7,7/6/2014,4028,188
7,7/7/2014,3817,189
7,7/8/2014,3785,190
7,7/9/2014,4260,191
7,7/10/2014,4435,192
7,7/11/2014,4260,193
7,7/12/2014,4050,194
7,7/13/2014,3994,195
7,7/14/2014,3921,196
7,7/15/2014,3715,197
7,7/16/2014,3500,198
7,7/17/2014,3319,199
7,7/18/2014,3068,200
7,7/19/2014,2844,201
7,7/20/2014,2879,202
7,7/21/2014,2657,203
7,7/22/2014,2579,204
7,7/23/2014,2694,205
7,7/24/2014,2825,206
7,7/25/2014,2699,207
7,7/26/2014,2430,208
7,7/27/2014,2197,209
7,7/28/2014,2047,210
7,7/29/2014,1936,211
7,7/30/2014,1993,212
7,7/31/2014,2162,213
8,8/1/2014,2102,214
8,8/2/2014,1951,215
8,8/3/2014,2106,216
8,8/4/2014,2962,217
8,8/5/2014,3605,218
8,8/6/2014,3555,219
8,8/7/2014,3483,220
8,8/8/2014,3350,221
8,8/9/2014,3204,222
8,8/10/2014,3354,223
8,8/11/2014,3449,224
8,8/12/2014,3281,225
8,8/13/2014,3442,226
8,8/14/2014,3566,227
8,8/15/2014,3331,228
8,8/16/2014,3578,229
8,8/17/2014,3715,230
8,8/18/2014,3488,231
8,8/19/2014,3276,232
8,8/20/2014,3752,233
8,8/21/2014,4427,234
8,8/22/2014,4611,235
8,8/23/2014,4382,236
8,8/24/2014,4185,237
8,8/25/2014,3722,238
8,8/26/2014,2957,239
8,8/27/2014,2271,240
8,8/28/2014,1879,241
8,8/29/2014,1612,242
8,8/30/2014,1365,243
8,8/31/2014,1233,244
9,9/1/2014,1372,245
9,9/2/2014,1826,246
9,9/3/2014,2208,247
9,9/4/2014,2177,248
9,9/5/2014,2001,249
9,9/6/2014,2138,250
9,9/7/2014,2028,251
9,9/8/2014,1827,252
9,9/9/2014,1875,253
9,9/10/2014,1773,254
9,9/11/2014,1772,255
9,9/12/2014,1965,256
9,9/13/2014,1879,257
9,9/14/2014,1792,258
9,9/15/2014,2611,259
9,9/16/2014,4365,260
9,9/17/2014,6329,261
9,9/18/2014,7952,262
9,9/19/2014,8783,263
9,9/20/2014,9115,264
9,9/21/2014,8636,265
9,9/22/2014,7425,266
9,9/23/2014,6412,267
9,9/24/2014,6116,268
9,9/25/2014,5978,269
9,9/26/2014,5123,270
9,9/27/2014,4255,271
9,9/28/2014,3691,272
9,9/29/2014,4364,273
9,9/30/2014,5621,274
10,10/1/2014,7647,275
10,10/2/2014,7043,276
10,10/3/2014,6673,277
10,10/4/2014,6184,278
10,10/5/2014,5643,279
10,10/6/2014,4882,280
10,10/7/2014,4112,281
10,10/8/2014,4798,282
10,10/9/2014,7707,283
10,10/10/2014,8693,284
10,10/11/2014,6078,285
10,10/12/2014,5379,286
10,10/13/2014,8443,287
10,10/14/2014,7899,288
10,10/15/2014,6963,289
10,10/16/2014,5873,290
10,10/17/2014,4809,291
10,10/18/2014,4418,292
10,10/19/2014,4313,293
10,10/20/2014,4239,294
10,10/21/2014,4217,295
10,10/22/2014,4063,296
10,10/23/2014,3776,297
10,10/24/2014,3540,298
10,10/25/2014,3194,299
10,10/26/2014,2790,300
10,10/27/2014,2591,301
10,10/28/2014,2732,302
10,10/29/2014,2820,303
10,10/30/2014,2776,304
10,10/31/2014,2737,305
11,11/1/2014,2642,306
11,11/2/2014,2663,307
11,11/3/2014,3249,308
11,11/4/2014,3934,309
11,11/5/2014,3927,310
11,11/6/2014,3699,311
11,11/7/2014,3766,312
11,11/8/2014,3661,313
11,11/9/2014,3504,314
11,11/10/2014,3504,315
11,11/11/2014,3760,316
11,11/12/2014,4405,317
11,11/13/2014,6475,318
11,11/14/2014,8150,319
11,11/15/2014,8469,320
11,11/16/2014,8918,321
11,11/17/2014,8746,322
11,11/18/2014,7936,323
11,11/19/2014,6900,324
11,11/20/2014,6524,325
11,11/21/2014,6347,326
11,11/22/2014,6033,327
11,11/23/2014,5582,328
11,11/24/2014,5224,329
11,11/25/2014,4968,330
11,11/26/2014,4784,331
11,11/27/2014,4665,332
11,11/28/2014,4548,333
11,11/29/2014,4472,334
11,11/30/2014,4528,335
12,12/1/2014,4955,336
12,12/2/2014,5466,337
12,12/3/2014,5848,338
12,12/4/2014,6019,339
12,12/5/2014,5850,340
12,12/6/2014,5623,341
12,12/7/2014,5171,342
12,12/8/2014,4518,343
12,12/9/2014,4134,344
12,12/10/2014,4329,345
12,12/11/2014,4563,346
12,12/12/2014,4446,347
12,12/13/2014,4161,348
12,12/14/2014,4145,349
12,12/15/2014,4949,350
12,12/16/2014,5852,351
12,12/17/2014,6682,352
12,12/18/2014,6986,353
12,12/19/2014,7007,354
12,12/20/2014,6947,355
12,12/21/2014,6727,356
12,12/22/2014,6841,357
12,12/23/2014,7408,358
12,12/24/2014,8696,359
12,12/25/2014,10372,360
12,12/26/2014,10688,361
12,12/27/2014,10100,362
12,12/28/2014,9253,363
12,12/29/2014,8509,364
12,12/30/2014,8669,365
12,12/31/2014,9222,366
