Reading,Receive,Value,Unit,Data Quality
12/31/2019 23:38,12/31/2019 23:38,0.37,ft,A
12/31/2019 23:08,12/31/2019 23:08,0.39,ft,A
12/31/2019 22:38,12/31/2019 22:38,0.44,ft,A
12/31/2019 22:08,12/31/2019 22:08,0.51,ft,A
12/31/2019 21:38,12/31/2019 21:38,0.51,ft,A
12/31/2019 21:08,12/31/2019 21:08,0.48,ft,A
12/31/2019 20:38,12/31/2019 20:38,0.51,ft,A
12/31/2019 20:08,12/31/2019 20:08,0.49,ft,A
12/31/2019 19:38,12/31/2019 19:38,0.48,ft,A
12/31/2019 19:08,12/31/2019 19:08,0.43,ft,A
12/31/2019 18:38,12/31/2019 18:38,0.47,ft,A
12/31/2019 18:08,12/31/2019 18:08,0.44,ft,A
12/31/2019 17:38,12/31/2019 17:38,0.43,ft,A
12/31/2019 17:08,12/31/2019 17:08,0.47,ft,A
12/31/2019 16:38,12/31/2019 16:38,0.54,ft,A
12/31/2019 16:08,12/31/2019 16:08,0.5,ft,A
12/31/2019 15:38,12/31/2019 15:38,0.43,ft,A
12/31/2019 15:08,12/31/2019 15:08,0.46,ft,A
12/31/2019 14:38,12/31/2019 14:38,0.46,ft,A
12/31/2019 14:08,12/31/2019 14:08,0.39,ft,A
12/31/2019 13:38,12/31/2019 13:38,0.42,ft,A
12/31/2019 13:08,12/31/2019 13:08,0.46,ft,A
12/31/2019 12:38,12/31/2019 12:38,0.43,ft,A
12/31/2019 12:08,12/31/2019 12:08,0.48,ft,A
12/31/2019 11:38,12/31/2019 11:38,0.47,ft,A
12/31/2019 11:08,12/31/2019 11:08,0.54,ft,A
12/31/2019 10:38,12/31/2019 10:38,0.53,ft,A
12/31/2019 10:08,12/31/2019 10:08,0.49,ft,A
12/31/2019 9:38,12/31/2019 9:38,0.47,ft,A
12/31/2019 9:08,12/31/2019 9:08,0.46,ft,A
12/31/2019 8:38,12/31/2019 8:38,0.46,ft,A
12/31/2019 8:08,12/31/2019 8:08,0.48,ft,A
12/31/2019 7:38,12/31/2019 7:38,0.51,ft,A
12/31/2019 7:08,12/31/2019 7:08,0.52,ft,A
12/31/2019 6:38,12/31/2019 6:38,0.55,ft,A
12/31/2019 6:08,12/31/2019 6:08,0.55,ft,A
12/31/2019 5:38,12/31/2019 5:38,0.57,ft,A
12/31/2019 5:08,12/31/2019 5:08,0.56,ft,A
