Reading,Receive,Value,Unit,Data Quality
11/8/2023 15:38,11/8/2023 15:39,0.59,ft,A
11/8/2023 15:08,11/8/2023 15:09,0.62,ft,A
11/8/2023 14:38,11/8/2023 14:39,0.61,ft,A
11/8/2023 14:08,11/8/2023 14:09,0.59,ft,A
11/8/2023 13:38,11/8/2023 13:39,0.62,ft,A
11/8/2023 13:08,11/8/2023 13:09,0.67,ft,A
11/8/2023 12:38,11/8/2023 12:39,0.72,ft,A
11/8/2023 12:08,11/8/2023 12:09,0.72,ft,A
11/8/2023 11:38,11/8/2023 11:39,0.73,ft,A
11/8/2023 11:08,11/8/2023 11:09,0.73,ft,A
11/8/2023 10:38,11/8/2023 10:39,0.72,ft,A
11/8/2023 10:08,11/8/2023 10:09,0.76,ft,A
11/8/2023 9:38,11/8/2023 9:39,0.75,ft,A
11/8/2023 9:08,11/8/2023 9:09,0.75,ft,A
11/8/2023 8:38,11/8/2023 8:39,0.74,ft,A
11/8/2023 8:08,11/8/2023 8:09,0.74,ft,A
11/8/2023 7:38,11/8/2023 7:39,0.72,ft,A
11/8/2023 7:08,11/8/2023 7:09,0.72,ft,A
11/8/2023 6:38,11/8/2023 6:39,0.74,ft,A
11/8/2023 6:08,11/8/2023 6:09,0.73,ft,A
11/8/2023 5:38,11/8/2023 5:39,0.73,ft,A
11/8/2023 5:08,11/8/2023 5:09,0.73,ft,A
11/8/2023 4:38,11/8/2023 4:39,0.75,ft,A
11/8/2023 4:08,11/8/2023 4:09,0.76,ft,A
11/8/2023 3:38,11/8/2023 3:39,0.72,ft,A
11/8/2023 3:08,11/8/2023 3:09,0.75,ft,A
11/8/2023 2:38,11/8/2023 2:39,0.78,ft,A
11/8/2023 2:08,11/8/2023 2:09,0.77,ft,A
11/8/2023 1:38,11/8/2023 1:39,0.72,ft,A
11/8/2023 1:08,11/8/2023 1:09,0.77,ft,A
11/8/2023 0:38,11/8/2023 0:39,0.8,ft,A
11/8/2023 0:08,11/8/2023 0:09,0.78,ft,A
11/7/2023 23:38,11/7/2023 23:39,0.77,ft,A
11/7/2023 23:08,11/7/2023 23:09,0.76,ft,A
11/7/2023 22:38,11/7/2023 22:39,0.76,ft,A
11/7/2023 22:08,11/7/2023 22:09,0.76,ft,A
11/7/2023 21:38,11/7/2023 21:39,0.75,ft,A
11/7/2023 21:08,11/7/2023 21:09,0.74,ft,A
11/7/2023 20:38,11/7/2023 20:39,0.73,ft,A
11/7/2023 20:08,11/7/2023 20:09,0.73,ft,A
11/7/2023 19:38,11/7/2023 19:39,0.7,ft,A
11/7/2023 19:08,11/7/2023 19:09,0.67,ft,A
11/7/2023 18:38,11/7/2023 18:39,0.64,ft,A
11/7/2023 18:08,11/7/2023 18:09,0.62,ft,A
11/7/2023 17:38,11/7/2023 17:39,0.6,ft,A
11/7/2023 17:08,11/7/2023 17:09,0.56,ft,A
11/7/2023 16:38,11/7/2023 16:39,0.58,ft,A
11/7/2023 16:08,11/7/2023 16:09,0.61,ft,A
11/7/2023 15:38,11/7/2023 15:39,0.63,ft,A
11/7/2023 15:08,11/7/2023 15:09,0.63,ft,A
11/7/2023 14:38,11/7/2023 14:39,0.66,ft,A
11/7/2023 14:08,11/7/2023 14:09,0.63,ft,A
11/7/2023 13:38,11/7/2023 13:39,0.62,ft,A
11/7/2023 13:08,11/7/2023 13:09,0.67,ft,A
11/7/2023 12:38,11/7/2023 12:39,0.65,ft,A
11/7/2023 12:08,11/7/2023 12:09,0.62,ft,A
11/7/2023 11:38,11/7/2023 11:39,0.62,ft,A
11/7/2023 11:08,11/7/2023 11:09,0.62,ft,A
11/7/2023 10:38,11/7/2023 10:39,0.63,ft,A
11/7/2023 10:08,11/7/2023 10:09,0.65,ft,A
11/7/2023 9:38,11/7/2023 9:39,0.64,ft,A
