,dayStart,duration,elev,Duration in Days
0,2019-04-25 20:00:00,332.0,0.68,13.8
1,2019-05-09 17:00:00,345.0,0.62,14.4
2,2019-05-24 03:00:00,879.0,0.46,36.6
3,2019-06-29 19:00:00,109.0,0.24,4.5
4,2019-07-04 10:00:00,656.0,0.79,27.3
5,2019-07-31 19:00:00,514.0,0.43,21.4
6,2019-08-22 08:00:00,81.0,0.87,3.4
7,2019-08-25 18:00:00,268.0,0.02,11.2
8,2019-09-07 04:00:00,18.0,1.48,0.8
9,2019-09-10 07:00:00,376.0,1.5,15.7
10,2019-09-26 00:00:00,181.0,0.67,7.5
11,2019-10-03 14:00:00,239.0,0.84,10.0
12,2019-10-15 03:00:00,39.0,1.5,1.6
13,2019-10-16 21:00:00,3437.0,1.46,143.2
14,2020-03-08 03:00:00,4665.0,-0.5,194.4
15,2020-09-18 16:00:00,580.0,1.42,24.2
16,2020-10-12 21:00:00,823.0,0.64,34.3
17,2020-11-16 07:00:00,689.0,1.49,28.7
18,2020-12-15 02:00:00,1478.0,0.33,61.6
19,2021-02-14 17:00:00,657.0,0.2,27.4
20,2021-03-14 03:00:00,3326.0,0.01,138.6
21,2021-07-30 18:00:00,1087.0,0.8,45.3
22,2021-09-14 03:00:00,1317.0,0.39,54.9
23,2021-11-08 02:00:00,1353.0,-0.61,56.4
24,2022-01-03 15:00:00,1643.0,1.47,68.5
25,2022-03-13 03:00:00,736.0,-0.23,30.7
26,2022-04-14 20:00:00,4082.0,0.35,170.1
27,2022-10-02 02:00:00,89.0,1.5,3.7
28,2022-10-05 21:00:00,652.0,0.89,27.2
29,2022-11-10 16:00:00,2914.0,0.34,121.4
30,2023-03-12 03:00:00,5797.0,0.34,241.5
