,dayStart,duration,elev,Duration in Days
0,2020-01-01 00:00:00,1610.0,0.22,67.1
1,2020-03-08 03:00:00,227.0,-0.56,9.5
2,2020-03-17 17:00:00,1584.0,-0.31,66.0
3,2020-05-22 20:00:00,1268.0,1.49,52.8
4,2020-07-14 18:00:00,188.0,0.69,7.8
5,2020-07-23 12:00:00,262.0,0.59,10.9
6,2020-08-03 13:00:00,314.0,0.88,13.1
7,2020-08-16 21:00:00,12.0,1.45,0.5
8,2020-08-18 20:00:00,11.0,1.48,0.5
9,2020-08-19 14:00:00,43.0,1.11,1.8
10,2020-08-21 18:00:00,10.0,1.39,0.4
11,2020-08-26 14:00:00,504.0,0.63,21.0
12,2020-09-16 20:00:00,7.0,1.49,0.3
13,2020-09-28 19:00:00,10.0,1.27,0.4
14,2020-10-04 15:00:00,2.0,1.49,0.1
15,2020-10-06 19:00:00,13.0,1.38,0.5
16,2020-10-08 20:00:00,22.0,1.31,0.9
17,2020-10-11 04:00:00,7.0,1.45,0.3
18,2020-10-11 20:00:00,2.0,1.31,0.1
19,2020-10-12 09:00:00,2.0,1.45,0.1
20,2020-10-17 08:00:00,2.0,1.27,0.1
21,2020-10-17 23:00:00,2.0,1.5,0.1
22,2020-10-18 06:00:00,1.0,1.5,0.0
23,2020-10-25 19:00:00,1.0,1.39,0.0
24,2020-10-26 17:00:00,16.0,1.48,0.7
25,2020-10-27 11:00:00,1573.0,1.17,65.5
