,dayStart,duration,elev,Duration in Days
0,2020-08-17 20:00:00,1.0,2.75,0.0
1,2020-08-18 04:00:00,5.0,2.98,0.2
2,2020-08-18 14:00:00,6.0,2.95,0.2
3,2020-08-19 07:00:00,1.0,2.16,0.0
4,2020-08-22 09:00:00,1.0,2.4,0.0
5,2020-09-17 19:00:00,30.0,2.02,1.2
6,2020-09-19 05:00:00,2.0,2.09,0.1
7,2020-09-19 12:00:00,8.0,2.03,0.3
8,2020-09-20 06:00:00,4.0,2.02,0.2
9,2020-09-20 15:00:00,2.0,2.06,0.1
10,2020-09-22 21:00:00,141.0,2.05,5.9
11,2020-09-29 07:00:00,1.0,2.09,0.0
12,2020-09-29 10:00:00,67.0,2.21,2.8
13,2020-10-02 08:00:00,8.0,3.0,0.3
14,2020-10-02 20:00:00,10.0,2.95,0.4
15,2020-10-03 08:00:00,2.0,2.08,0.1
16,2020-10-03 16:00:00,19.0,2.14,0.8
17,2020-10-04 13:00:00,2.0,2.07,0.1
18,2020-10-04 18:00:00,1.0,2.45,0.0
19,2020-10-05 09:00:00,1.0,2.83,0.0
20,2020-10-06 10:00:00,3.0,2.63,0.1
21,2020-10-06 15:00:00,2.0,2.28,0.1
22,2020-10-07 12:00:00,29.0,2.17,1.2
23,2020-10-11 18:00:00,1.0,2.07,0.0
24,2020-10-11 23:00:00,4.0,2.13,0.2
25,2020-10-12 07:00:00,2.0,2.84,0.1
26,2020-10-12 11:00:00,1.0,2.53,0.0
27,2020-10-12 13:00:00,70.0,2.96,2.9
28,2020-10-15 13:00:00,2.0,2.06,0.1
29,2020-10-15 16:00:00,2.0,2.64,0.1
30,2020-10-15 20:00:00,9.0,2.13,0.4
31,2020-10-17 01:00:00,1.0,3.0,0.0
32,2020-10-17 06:00:00,2.0,2.76,0.1
33,2020-10-20 16:00:00,7.0,2.02,0.3
34,2020-10-21 04:00:00,5.0,2.04,0.2
35,2020-10-21 10:00:00,16.0,2.01,0.7
36,2020-10-22 03:00:00,9.0,2.01,0.4
37,2020-10-24 12:00:00,1.0,2.01,0.0
38,2020-10-24 17:00:00,23.0,2.05,1.0
39,2020-10-25 21:00:00,4.0,2.43,0.2
40,2020-10-26 05:00:00,1.0,2.4,0.0
41,2020-10-26 11:00:00,2.0,2.6,0.1
