,dayStart,duration,elev,Duration in Days
0,2020-08-17 19:00:00,1.0,3.42,0.0
1,2020-08-18 02:00:00,2.0,3.05,0.1
2,2020-08-18 09:00:00,1.0,3.34,0.0
3,2020-08-18 13:00:00,1.0,3.4,0.0
4,2020-08-25 17:00:00,14.0,3.43,0.6
5,2020-10-02 05:00:00,3.0,3.02,0.1
6,2020-10-04 23:00:00,2.0,3.35,0.1
7,2020-10-05 10:00:00,1.0,3.03,0.0
8,2020-10-05 13:00:00,3.0,3.29,0.1
9,2020-10-05 21:00:00,8.0,3.5,0.3
10,2020-10-06 09:00:00,1.0,3.03,0.0
11,2020-10-06 14:00:00,1.0,3.41,0.0
12,2020-10-12 03:00:00,4.0,3.12,0.2
13,2020-10-12 12:00:00,1.0,3.01,0.0
14,2020-10-15 15:00:00,1.0,3.44,0.0
15,2020-10-16 05:00:00,3.0,3.1,0.1
16,2020-10-16 15:00:00,1.0,3.31,0.0
17,2020-10-16 19:00:00,6.0,3.3,0.2
18,2020-10-17 02:00:00,4.0,3.12,0.2
