,dayStart,duration,elev,Duration in Days
0,2022-01-03 09:00:00,3.0,1.73,0.1
1,2022-08-15 15:00:00,1.0,1.57,0.0
2,2022-10-21 09:00:00,1.0,1.52,0.0
3,2022-10-25 03:00:00,5.0,1.53,0.2
4,2022-10-25 09:00:00,1.0,1.53,0.0
5,2022-10-25 13:00:00,9.0,1.51,0.4
6,2022-10-26 01:00:00,26.0,1.52,1.1
7,2022-10-27 09:00:00,17.0,1.96,0.7
8,2022-10-28 14:00:00,10.0,1.53,0.4
9,2022-10-30 19:00:00,6.0,1.52,0.2
10,2022-10-31 02:00:00,19.0,1.53,0.8
11,2022-11-01 00:00:00,4.0,1.98,0.2
12,2022-11-01 15:00:00,6.0,2.0,0.2
13,2022-11-01 22:00:00,13.0,1.98,0.5
14,2022-11-11 17:00:00,28.0,1.52,1.2
15,2022-11-12 23:00:00,11.0,1.51,0.5
16,2022-11-30 19:00:00,4.0,1.52,0.2
17,2022-12-04 09:00:00,1.0,1.69,0.0
18,2022-12-15 10:00:00,1.0,1.53,0.0
19,2022-12-15 18:00:00,7.0,1.56,0.3
20,2022-12-16 02:00:00,2.0,1.53,0.1
21,2022-12-16 09:00:00,54.0,1.52,2.2
22,2022-12-18 16:00:00,3.0,1.65,0.1
23,2022-12-18 21:00:00,2.0,1.51,0.1
