Reading,Value,Unit,Data Quality,Receive
11/6/2023 12:25,0.7,ft,A,11/6/2023 12:47
11/6/2023 12:20,0.7,ft,A,11/6/2023 12:47
11/6/2023 12:15,0.71,ft,A,11/6/2023 12:47
11/6/2023 12:10,0.72,ft,A,11/6/2023 12:47
11/6/2023 12:05,0.72,ft,A,11/6/2023 12:47
11/6/2023 12:00,0.72,ft,A,11/6/2023 12:47
11/6/2023 11:55,0.73,ft,A,11/6/2023 12:47
11/6/2023 11:50,0.72,ft,A,11/6/2023 12:47
11/6/2023 11:45,0.71,ft,A,11/6/2023 12:47
11/6/2023 11:40,0.7,ft,A,11/6/2023 12:47
11/6/2023 11:35,0.7,ft,A,11/6/2023 12:47
11/6/2023 11:30,0.7,ft,A,11/6/2023 12:47
11/6/2023 11:25,0.7,ft,A,11/6/2023 11:47
11/6/2023 11:20,0.7,ft,A,11/6/2023 11:47
11/6/2023 11:15,0.7,ft,A,11/6/2023 11:47
11/6/2023 11:10,0.7,ft,A,11/6/2023 11:47
11/6/2023 11:05,0.7,ft,A,11/6/2023 11:47
11/6/2023 11:00,0.71,ft,A,11/6/2023 11:47
11/6/2023 10:55,0.71,ft,A,11/6/2023 11:47
11/6/2023 10:50,0.72,ft,A,11/6/2023 11:47
11/6/2023 10:45,0.72,ft,A,11/6/2023 11:47
11/6/2023 10:40,0.71,ft,A,11/6/2023 11:47
11/6/2023 10:35,0.7,ft,A,11/6/2023 11:47
11/6/2023 10:30,0.7,ft,A,11/6/2023 11:47
11/6/2023 10:25,0.7,ft,A,11/6/2023 10:47
11/6/2023 10:20,0.71,ft,A,11/6/2023 10:47
11/6/2023 10:15,0.7,ft,A,11/6/2023 10:47
11/6/2023 10:10,0.7,ft,A,11/6/2023 10:47
11/6/2023 10:05,0.7,ft,A,11/6/2023 10:47
11/6/2023 10:00,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:55,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:50,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:45,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:40,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:35,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:30,0.7,ft,A,11/6/2023 10:47
11/6/2023 9:25,0.7,ft,A,11/6/2023 9:47
11/6/2023 9:20,0.69,ft,A,11/6/2023 9:47
11/6/2023 9:15,0.68,ft,A,11/6/2023 9:47
11/6/2023 9:10,0.68,ft,A,11/6/2023 9:47
11/6/2023 9:05,0.68,ft,A,11/6/2023 9:47
11/6/2023 9:00,0.68,ft,A,11/6/2023 9:47
11/6/2023 8:55,0.67,ft,A,11/6/2023 9:47
11/6/2023 8:50,0.67,ft,A,11/6/2023 9:47
11/6/2023 8:45,0.67,ft,A,11/6/2023 9:47
11/6/2023 8:40,0.67,ft,A,11/6/2023 9:47
11/6/2023 8:35,0.67,ft,A,11/6/2023 9:47
11/6/2023 8:30,0.67,ft,A,11/6/2023 9:47
11/6/2023 8:25,0.67,ft,A,11/6/2023 8:47
11/6/2023 8:20,0.67,ft,A,11/6/2023 8:47
11/6/2023 8:15,0.67,ft,A,11/6/2023 8:47
11/6/2023 8:10,0.66,ft,A,11/6/2023 8:47
11/6/2023 8:05,0.65,ft,A,11/6/2023 8:47
11/6/2023 8:00,0.65,ft,A,11/6/2023 8:47
11/6/2023 7:55,0.66,ft,A,11/6/2023 8:47
11/6/2023 7:50,0.66,ft,A,11/6/2023 8:47
11/6/2023 7:45,0.66,ft,A,11/6/2023 8:47
11/6/2023 7:40,0.67,ft,A,11/6/2023 8:47
11/6/2023 7:35,0.67,ft,A,11/6/2023 8:47
11/6/2023 7:30,0.67,ft,A,11/6/2023 8:47
11/6/2023 7:25,0.67,ft,A,11/6/2023 7:46
11/6/2023 7:20,0.66,ft,A,11/6/2023 7:46
11/6/2023 7:15,0.66,ft,A,11/6/2023 7:46
11/6/2023 7:10,0.65,ft,A,11/6/2023 7:46
11/6/2023 7:05,0.64,ft,A,11/6/2023 7:46
11/6/2023 7:00,0.64,ft,A,11/6/2023 7:46
